,Date,Phase (degrees), Distance (M) ,Declination (degrees),Azimuth (degrees),Altitude (degrees)
3454,9:57:40 PM,63," 380,665,375 ",-19.33618727,321.5657983,-59.70680221
3455,9:57:40 PM,52," 377,254,121 ",-19.24231774,302.5168924,-52.50104483
3456,9:57:40 PM,41," 373,898,075 ",-18.01229285,289.416453,-42.90917453
3457,9:57:40 PM,30," 370,813,749 ",-15.68941627,280.0058456,-31.99385945
3458,9:57:40 PM,19," 368,274,605 ",-12.40653583,272.651617,-20.31883779
3459,9:57:40 PM,11," 366,574,864 ",-8.373843909,266.352598,-8.22124685
3460,9:57:40 PM,5," 365,977,017 ",-3.858273769,260.440878,4.226151379
3461,9:57:40 PM,1," 366,655,185 ",0.84131948,254.3667635,16.28642388
3462,9:57:40 PM,0," 368,649,321 ",5.420818733,247.5363831,28.11293059
3463,9:57:40 PM,2," 371,845,491 ",9.597341045,239.1345127,39.29094328
3464,9:57:40 PM,6," 375,987,370 ",13.13270015,227.8844398,49.34147445
3465,9:57:40 PM,11," 380,715,254 ",15.85053953,211.8827819,57.47253121
3466,9:57:40 PM,19," 385,618,967 ",17.64461008,189.6320336,62.37820531
3467,9:57:40 PM,27," 390,292,165 ",18.47729185,163.9792364,62.72977564
3468,9:57:40 PM,36," 394,376,747 ",18.36951042,141.8998986,58.71524315
3469,9:57:40 PM,46," 397,594,373 ",17.38526979,126.1483895,51.89457526
3470,9:57:40 PM,55," 399,763,746 ",15.61528282,115.2097049,43.59162313
3471,9:57:40 PM,65," 400,806,426 ",13.16383654,107.211451,34.49781022
3472,9:57:40 PM,73," 400,743,033 ",10.14127345,100.9236334,24.92771626
3473,9:57:40 PM,81," 399,681,857 ",6.662389141,95.59661181,15.02830645
3474,9:57:40 PM,88," 397,801,202 ",2.84957837,90.73844168,4.932118025
3475,9:57:40 PM,94," 395,325,939 ",-1.161153183,85.97038224,-5.401029722
3476,9:57:40 PM,98," 392,500,097 ",-5.213547194,80.92658123,-16.25573925
3477,9:57:40 PM,100," 389,557,744 ",-9.126407652,75.15512601,-26.92248838
3478,9:57:40 PM,100," 386,695,747 ",-12.69387565,67.97152919,-37.47811545
3479,9:57:40 PM,97," 384,053,711 ",-15.6938544,58.19057534,-47.57659455
3480,9:57:40 PM,92," 381,705,095 ",-17.9069206,43.69248111,-56.50459778
3481,9:57:40 PM,85," 379,662,856 ",-19.14497862,21.58326461,-62.77798994
