FID,X,Y,Call_Taken,Location,Day,x2,y2
96,0,0,12/29/2015 12:00:00 AM,1815 noth emerson,Day 1
97,0,0,12/29/2015 12:00:00 AM,501 e 15th St,Day 1
98,0,0,12/29/2015 12:00:00 AM,1158 van white Blvd n,Day 1
99,-10378427.29426,5615753.536685,12/29/2015 12:00:00 AM,2818 riverside ave,Day 1,-10378427.2942592,5615753.53668505
100,-10385446.797273,5621763.448059,12/29/2015 12:00:00 AM,2200 Emerson Ave N,Day 1,-10385446.7972721,5621763.44805909
101,-10379109.670795,5625878.811384,12/29/2015 12:00:00 AM,Johnson & 33rd Ave NE,Day 1,-10379109.6707936,5625878.81138445
102,-10384777.710404,5622553.394109,12/29/2015 12:00:00 AM,2635 Lyndale Ave N,Day 1,-10384777.7104035,5622553.39410871
103,-10381460.076245,5616012.958823,12/29/2015 12:00:00 AM,1810 11th ave s,Day 1,-10381460.0762441,5616012.9588235
104,-10384778.932514,5623139.442529,12/29/2015 12:00:00 AM,2925 Lyndale ave n,Day 1,-10384778.9325134,5623139.44252917
105,-10381447.703621,5615805.963358,12/29/2015 12:00:00 AM,1919 11th ave s,Day 1,-10381447.7036195,5615805.96335844
106,-10381953.772377,5613394.871786,12/29/2015 12:00:00 AM,Chicago ave & Lake St,Day 1,-10381953.7723764,5613394.8717863
107,-10380241.647327,5623294.457576,12/29/2015 12:00:00 AM,2329 Central Ave NE,Day 1,-10380241.6473262,5623294.45757619
108,-10377198.614027,5617244.523905,12/29/2015 12:00:00 AM,2602 University Ave SE,Day 1,-10377198.6140264,5617244.52390451
109,0,0,12/30/2015 12:00:00 AM,2715 east 50th street,Day 1
110,-10383613.463527,5614518.096353,12/30/2015 12:00:00 AM,21 26TH ST E,Day 1,-10383613.463526,5614518.09635295
111,-10384780.734884,5623629.689063,12/29/2015 12:00:00 AM,3215 lyndale ave n,Day 1,-10384780.7348827,5623629.68906337
112,-10380159.64317,5613117.954975,12/30/2015 12:00:00 AM,1836 31st st e,Day 1,-10380159.6431691,5613117.95497493
113,-10384765.454044,5621760.366911,12/29/2015 12:00:00 AM,2200 Lyndale ave n,Day 1,-10384765.4540433,5621760.36691082
114,-10379117.613394,5623992.99914,12/29/2015 12:00:00 AM,2636 Johnson St NE,Day 1,-10379117.6133931,5623992.99913973
115,-10379329.764318,5619618.350168,12/30/2015 12:00:00 AM,875 9th ave se,Day 1,-10379329.7643172,5619618.35016793
116,-10384767.375544,5623407.303424,12/29/2015 12:00:00 AM,3100 Lyndale ave n,Day 1,-10384767.3755425,5623407.30342443
117,-10383616.209934,5614518.126307,12/30/2015 12:00:00 AM,19 26TH ST E,Day 1,-10383616.2099335,5614518.12630697
118,-10379107.808316,5624740.154754,12/29/2015 12:00:00 AM,Johnson & 29th Ave NE,Day 1,-10379107.8083145,5624740.15475378
119,-10381855.307994,5620480.208969,12/30/2015 12:00:00 AM,533 2nd St NE,Day 1,-10381855.3079928,5620480.20896938
120,0,0,12/29/2015 12:00:00 AM,2303 9 th sts,Day 1
121,-10383837.539525,5614195.619486,12/30/2015 12:00:00 AM,2715 blaisdell av,Day 1,-10383837.5395237,5614195.61948621
122,-10378277.76728,5609311.556665,12/30/2015 12:00:00 AM,4448 30th Ave s,Day 1,-10378277.7672786,5609311.55666488
123,-10381953.772377,5613394.871786,12/29/2015 12:00:00 AM,chicago ave s & Lake St,Day 1,-10381953.7723764,5613394.8717863
124,-10379389.875231,5615856.795973,12/29/2015 12:00:00 AM,2219 9th st s,Day 1,-10379389.8752296,5615856.7959725
125,-10383831.032965,5615509.215343,12/30/2015 12:00:00 AM,2101 Blaisdell Ave S,Day 1,-10383831.0329642,5615509.21534307
126,-10384780.890726,5623684.540932,12/29/2015 12:00:00 AM,3235 Lyndale Ave n,Day 1,-10384780.8907255,5623684.54093238
127,-10383833.814896,5614965.219082,12/30/2015 12:00:00 AM,2443 blaisdell av,Day 1,-10383833.8148947,5614965.21908227
