Club,Last Name,First Name,Position,Salary,Compensation,Year
Minnesota United,Hairston,Marlon,M-D,200004,200004,2020
San Jose Earthquakes,Haji,Siad,F,85000,94000,2020
Orlando City SC,Halliday,Michael,D,81375,90939,2020
DC United,Hamid,Bill,GK,500000,500000,2020
Columbus Crew,Hamilton,Jordan,F,81375,81375,2020
Houston Dynamo,Hansen,Niko,M,81375,88875,2020
Sporting Kansas City,Harris,Wilson,F,63547,67399,2020
LA Galaxy,Harvey,Carlos Miguel,D-M,63547,63547,2020
LAFC,Harvey,Jordan,D,185000,185000,2020
Vancouver Whitecaps,Hasal,Thomas,GK,63547,63547,2020
Minnesota United,Hayes,Jacori,M,81375,88875,2020
FC Dallas,Hedges,Matt,D,750000,750000,2020
Chicago Fire,Herbers,Fabian,F,155004,155004,2020
LA Galaxy,Hernandez,Javier,F,6000000,6000000,2020
Sporting Kansas City,Hernandez,Felipe,M,63547,63547,2020
Real Salt Lake,Herrera,Aaron,D,275000,303794,2020
Inter Miami,Higuain,Federico,M-F,81375,81375,2020
Inter Miami,Higuain,Gonzalo,F,1457148,2150898,2020
San Jose Earthquakes,Hoesen,Danny,F,525000,574667,2020
FC Dallas,Hollingshead,Ryan,D,315000,315000,2020
Real Salt Lake,Holt,Erik,D,81375,81375,2020
Seattle Sounders FC,Hopeau,Shandon,M,63547,71183,2020
Colorado Rapids,Hundley,Matt,F,81375,90375,2020
Sporting Kansas City,Hurtado,Erik,F,192500,198750,2020
Atlanta United,Hyndman,Emerson,M,800000,800000,2020
Seattle Sounders FC,Ibarra,Miguel,M-F,210000,210000,2020
New York City FC,Ibeagha,Sebastien,D,100000,127125,2020
Real Salt Lake,Iloski,Milan,F,81375,82875,2020
LA Galaxy,Insua,Emiliano,D,350000,350000,2020
Colorado Rapids,Irwin,Clint,GK,168000,180707,2020
Portland Timbers,Ivacic,Aljaz,GK,165000,175000,2020
Colorado Rapids,Jackson,Niki,F,81375,81375,2020
Montreal Impact,Jackson-Hamel,Anthony,F,130000,144000,2020
Atlanta United,Jahn,Adam,F,115000,124000,2020
LAFC,Jakovic,Dejan,D,175000,175000,2020
Orlando City SC,Jansson,Robin,D,288000,316800,2020
FC Dallas,Jara,Franco,F,2200000,2887000,2020
New York City FC,Jasson,Andres,F,81375,98519,2020
New York Red Bulls,Jensen,David,GK,324996,364631,2020
Columbus Crew,Jimenez,Hector,M,200000,200000,2020
New York City FC,Johnson,Sean,GK,465000,465000,2020
Nashville SC,Johnston,Alistair,M-D,63547,63547,2020
Nashville SC,Jones,Derrick,M,125000,147969,2020
New England Revolution,Jones,DeJuan,D-M,90000,94938,2020
Real Salt Lake,Jones,Alvin,D,81375,81375,2020
Seattle Sounders FC,Jones,Joevin,D-M,482004,528671,2020
New York Red Bulls,Jorgensen,Mathias,F,300000,331250,2020
San Jose Earthquakes,Jungwirth,Florian,D-M,525000,567667,2020
Houston Dynamo,Junqua,Sam,D,63547,63547,2020
Minnesota United,Kallman,Brent,D,200000,233531,2020
DC United,Kamara,Ola,F,400000,420000,2020
Minnesota United,Kamara,Kei,F,750000,750000,2020
Atlanta United,Kann,Alec,GK,110000,110000,2020
Chicago Fire,Kappelhof,Johan,D,575000,602833,2020
San Jose Earthquakes,Kashia,Guram,D,640000,640000,2020
LAFC,Kaye,Mark-Anthony,M,226875,238438,2020
Columbus Crew,Keita,Aboubacar,D,100000,100000,2020
Colorado Rapids,Kelly,Jeremy,D,81375,81375,2020
Columbus Crew,Kempin,Jon,GK,81375,81375,2020
New England Revolution,Kessler,Henry,D,81375,101375,2020
Vancouver Whitecaps,Khmiri,Jasser,D,210000,210000,2020
Inter Miami,Kiesewetter,Jerome,F,81375,81375,2020
Sporting Kansas City,Kinda,Gadi,M,650000,718000,2020
LA Galaxy,Kitchen,Perry,M,550000,574167,2020
Montreal Impact,Kizza,Mustafa,,150000,166800,2020
LA Galaxy,Klinsmann,Jonathan,GK,81375,81375,2020
LA Galaxy,Kljestan,Sacha,M,307000,307000,2020
New England Revolution,Knighton,Brad,GK,130000,136750,2020
LA Galaxy,Koreniuk,Kai,M-F,63547,63547,2020
FC Cincinnati,Kovacevic,Franko,F,282000,282000,2020
Real Salt Lake,Kreilach,Damir,M,1168769,1282102,2020
Montreal Impact,Krkic,Bojan,M,1500000,1799572,2020
Chicago Fire,Kronholm,Kenneth,GK,433200,496200,2020
FC Cincinnati,Kubo,Yuya,F,1000000,1122500,2020
Atlanta United,Kunga,Lagos,M-F,81375,84375,2020
Sporting Kansas City,Kuzain,Wan,M,81375,81375,2020
Nashville SC,LaGrassa,Matt,M,81375,81375,2020
Columbus Crew,Lampson,Matt,GK,81375,81375,2020
Nashville SC,Lancaster,Cameron,F,130000,137816,2020
Minnesota United,Langsdorf,Foster,F,81375,81375,2020
Montreal Impact,Lappalainen,Lassi,M,322881,322881,2020
Atlanta United,Larentowicz,Jeff,M-D,280000,280000,2020
Toronto FC,Laryea,Richie,M,81375,108328,2020
Houston Dynamo,Lassiter,Ariel,F,144000,164280,2020
Nashville SC,Leal,Randall,F-M,360000,417750,2020
Seattle Sounders FC,Leerdam,Kelvin,D,650000,700000,2020
New York Red Bulls,Lema,Chris,M,63547,63547,2020
Houston Dynamo,Lemoine,Nico,F,63547,63547,2020
Atlanta United,Lennon,Brooks,D,325000,325000,2020
