Row Number,Date Captured,Location Category,Store,Address
365,2024-09-02,Food Court,Sbarro,S390
366,2024-09-02,Attractions + Entertainment,SEA LIFE Minnesota Aquarium,E120
367,2024-09-02,Health + Beauty,Sephora,W200
368,2024-09-02,Eyewear,Shady Rays,N170
369,2024-09-02,Fast Casual,Shake Shack,N332
370,2024-09-02,Health + Beauty,Shiatsu Renu,W390
371,2024-09-02,Health + Beauty,Shiatsu Renu | Kiosk,E220
372,2024-09-02,Shoes,Shoe MGK | Kiosk,W6201
373,2024-09-02,Shoes,Shoe MGK | Kiosk,E6110
374,2024-09-02,Shoes,Skechers,N214
375,2024-09-02,Books + Cards + Gifts,Sketching Memories | Kiosk,E6201
376,2024-09-02,Food Court,Slice Brothers Pizza,C335
377,2024-09-02,n/a,Soccer Jerseys | Cart,W6109
378,2024-09-02,Accessories,Socks & Bottoms,E112
379,2024-09-02,Shoes,SoftMoc,N159
380,2024-09-02,Women's Apparel,Soma,W135
381,2024-09-02,Mall of America® Gift Cards,South Food Cart,UNickelodeon
382,2024-09-02,Mall of America® Gift Cards,South Self-Service Ticketing,UNickelodeon
383,2024-09-02,Accessories,Sox Appeal,W391
384,2024-09-02,Home,Spencer's,N354
385,2024-09-02,Home,Spencer's,N275
386,2024-09-02,Women's Apparel,Spirit Halloween,S104
387,2024-09-02,Toys + Games + Hobbies,Squishable®,E106
388,2024-09-02,Accessories,Stance,N262
389,2024-09-02,Coffee + Tea,Starbucks @ Barnes & Noble,E118
390,2024-09-02,Coffee + Tea,Starbucks Coffee,E164
391,2024-09-02,Coffee + Tea,Starbucks Coffee,W276
392,2024-09-02,Shoes,Steve Madden,N282
393,2024-09-02,Convenience,Street Corner News,E122
394,2024-09-02,Sweets + Treats,Sugar Factory Express,S339
395,2024-09-02,Eyewear,Sunglass Hut,W296
396,2024-09-02,Eyewear,Sunglass Hut,W362
397,2024-09-02,Eyewear,Sunglass Hut,N256
398,2024-09-02,Eyewear,Sunglass Hut,N118
399,2024-09-02,Jewelry + Watches,Swarovski,N288
400,2024-09-02,Jewelry + Watches,Swatch,E162
401,2024-09-02,Fast Casual,Sweet Paris Crêperie and Café,N100
