domain_id,domain,email_count,sender_count,first_seen,last_seen
41,email.todaytix.com,5,1,2022-01-27 14:03:04+00:00,2022-11-03 13:01:30+00:00
42,email.us.shein.com,11,1,2026-06-04 06:37:55+00:00,2026-06-30 05:06:02+00:00
43,emails.honda.com,1,1,2016-05-09 21:05:06+00:00,2016-05-09 21:05:06+00:00
44,emails.jjill.com,2,1,2020-05-11 11:03:58+00:00,2020-06-30 12:09:52+00:00
45,emails.skype.com,1,1,2014-10-17 03:02:05+00:00,2014-10-17 03:02:05+00:00
46,emailusa.coca-cola.com,1,1,2019-09-10 23:40:27+00:00,2019-09-10 23:40:27+00:00
47,eml.condenast.com,24,1,2021-07-14 13:58:33+00:00,2024-09-03 13:16:26+00:00
48,eml.thecompanystore.com,13,1,2022-10-10 11:08:29+00:00,2023-03-05 12:10:21+00:00
49,engage.xbox.com,7,2,2011-04-16 17:07:04+00:00,2024-05-04 07:38:18+00:00
50,et.uber.com,1,1,2016-11-21 20:24:46+00:00,2016-11-21 20:24:46+00:00
51,fanmail.chicagofirefc.com,17,2,2021-08-14 16:11:26+00:00,2026-07-01 19:22:59+00:00
52,fanmail.mlssoccer.com,4,1,2026-06-10 23:02:11+00:00,2026-06-24 12:26:30+00:00
53,freeprintsapp.com,8,2,2026-06-02 15:04:31+00:00,2026-06-30 15:05:21+00:00
54,geneanet.org,1,1,2017-04-28 02:46:13+00:00,2017-04-28 02:46:13+00:00
55,getimpressapp.com,1,1,2019-05-22 15:00:59+00:00,2019-05-22 15:00:59+00:00
56,glass.photo,8,1,2022-11-28 18:59:35+00:00,2024-05-17 22:59:37+00:00
57,gmail.com,2,1,2020-12-10 21:04:23+00:00,2021-09-09 16:32:51+00:00
58,google.com,2,1,2013-02-13 22:29:50+00:00,2015-04-28 13:48:09+00:00
59,gopuff.com,11,1,2019-02-01 21:30:51+00:00,2021-11-22 22:01:44+00:00
60,hello.chamberlain.com,6,1,2025-11-21 22:03:26+00:00,2026-06-29 11:08:48+00:00
61,icloud.com,18,4,2023-01-11 00:04:15+00:00,2024-11-12 20:27:16+00:00
62,imdb.com,16,1,2017-08-31 12:30:13+00:00,2025-05-01 07:19:47+00:00
63,info.adobesystems.com,1,1,2017-11-08 07:44:49+00:00,2017-11-08 07:44:49+00:00
64,info.chamberlain.com,4,1,2022-10-07 12:36:57+00:00,2023-03-20 14:17:07+00:00
65,info.movietickets.com,1,1,2011-02-26 02:06:05+00:00,2011-02-26 02:06:05+00:00
66,insideapple.apple.com,7,1,2016-07-23 11:13:55+00:00,2021-05-13 12:15:07+00:00
67,inspire.pinterest.com,1,1,2023-06-18 16:15:19+00:00,2023-06-18 16:15:19+00:00
68,intuiface.com,1,1,2019-02-26 15:09:33+00:00,2019-02-26 15:09:33+00:00
69,intuilab.com,3,2,2015-01-14 14:12:20+00:00,2017-10-27 12:12:04+00:00
70,ivrose.com,2,1,2017-08-22 13:40:34+00:00,2017-08-23 15:56:46+00:00
71,khanacademy.org,2,2,2017-06-05 19:54:47+00:00,2023-10-12 19:12:07+00:00
72,learn.mailgun.com,1,1,2026-04-27 15:10:46+00:00,2026-04-27 15:10:46+00:00
73,listen.iheart.com,1,1,2019-02-07 11:37:39+00:00,2019-02-07 11:37:39+00:00
74,livingsocial.com,10,2,2012-08-30 13:46:49+00:00,2013-04-27 06:01:28+00:00
75,mail.adobe.com,7,1,2019-02-02 22:15:28+00:00,2026-06-30 14:09:33+00:00
76,mail.airtable.com,7,2,2022-09-19 16:01:26+00:00,2025-12-11 01:00:52+00:00
77,mail.etsy.com,2,1,2014-11-21 20:06:06+00:00,2015-01-02 19:57:35+00:00
78,mail.ia.net,1,1,2024-10-21 13:34:31+00:00,2024-10-21 13:34:31+00:00
79,mail.parkmobile.io,1,1,2024-06-25 19:09:43+00:00,2024-06-25 19:09:43+00:00
80,mail.zillow.com,8,3,2018-06-17 01:28:19+00:00,2018-09-05 08:56:12+00:00
81,mail1.prezi.com,1,1,2014-11-20 21:18:58+00:00,2014-11-20 21:18:58+00:00
82,mailing.fifa.com,15,1,2024-11-24 10:03:24+00:00,2026-06-26 18:09:56+00:00
83,market-us.sheinmail.com,9,1,2023-03-23 02:00:08+00:00,2023-10-21 15:06:34+00:00
84,messages.doordash.com,12,1,2024-01-06 19:35:30+00:00,2026-06-13 19:17:18+00:00
85,microsoftstore.microsoft.com,9,1,2023-09-08 21:18:40+00:00,2024-08-23 00:08:25+00:00
86,microsoftstoreemail.com,17,1,2020-09-09 22:21:50+00:00,2022-12-21 21:53:43+00:00
87,miro.com,1,1,2022-03-16 17:42:49+00:00,2022-03-16 17:42:49+00:00
88,mp1.tripadvisor.com,2,2,2024-12-12 18:01:47+00:00,2025-02-04 17:34:58+00:00
89,news.emailmarket.shein.com,22,1,2026-06-05 06:17:09+00:00,2026-07-02 06:14:42+00:00
90,news.tunein.com,6,1,2024-02-09 01:30:23+00:00,2024-08-12 19:30:40+00:00
91,news.ubisoft.com,1,1,2019-09-09 12:36:04+00:00,2019-09-09 12:36:04+00:00
92,noreply.gopuff.com,1,1,2023-03-16 21:02:00+00:00,2023-03-16 21:02:00+00:00
93,noteplan.co,1,1,2026-06-18 19:49:00+00:00,2026-06-18 19:49:00+00:00
94,nytimes.com,3,1,2025-05-25 23:03:15+00:00,2025-07-22 18:49:10+00:00
95,onedrive.com,2,1,2023-04-22 00:24:31+00:00,2023-05-15 17:46:07+00:00
96,photoaffections.com,5,2,2018-08-05 15:03:47+00:00,2022-05-09 15:26:01+00:00
97,popmenu.com,2,1,2024-03-12 20:55:05+00:00,2024-04-16 19:51:50+00:00
98,poshmark.com,12,2,2021-07-13 01:22:20+00:00,2026-06-29 01:55:00+00:00
99,postmates.com,1,1,2017-05-31 07:05:25+00:00,2017-05-31 07:05:25+00:00
100,privaterelay.appleid.com,9,1,2021-12-07 13:07:58+00:00,2023-07-04 12:32:34+00:00
101,prop.trulia.com,6,4,2020-08-30 16:20:26+00:00,2021-07-09 13:19:57+00:00
102,quikly.com,2,1,2018-12-10 19:09:33+00:00,2021-07-14 19:52:01+00:00
103,r.groupon.com,415,1,2017-07-01 15:18:18+00:00,2026-03-31 00:20:51+00:00
104,reply.ebay.com,11,1,2022-11-29 17:14:02+00:00,2024-02-14 20:53:43+00:00
