email_id,label
180,Unread
180,Personal
181,Inbox
181,Category Promotions
181,Unread
182,Inbox
182,Category Promotions
182,Unread
183,Archived
183,Category Promotions
183,Unread
183,Personal
184,Inbox
184,Category Promotions
184,Unread
185,Archived
185,Category Promotions
185,Unread
185,Personal
186,Inbox
186,Category Promotions
186,Unread
187,Inbox
187,Category Promotions
187,Unread
188,Inbox
188,Category Promotions
188,Unread
189,Inbox
189,Category Promotions
189,Unread
190,Inbox
190,Category Promotions
190,Unread
191,Inbox
191,Category Promotions
191,Unread
192,Inbox
192,Category Promotions
192,Unread
193,Archived
193,Category Promotions
193,Unread
193,Personal
194,Inbox
194,Category Promotions
194,Unread
195,Inbox
